store_id,store_name,store_region,store_type,store_address,store_latitude,store_longitude,store_open_date
1509,역삼아레나빌딩,서울,일반 매장,서울특별시 강남구 역삼동 721-13 아레나빌딩,37.501087,127.043069,20190613
1434,논현역사거리,서울,일반 매장,서울특별시 강남구 논현동 142-2 정일빌딩,37.510178,127.022223,20181123
1595,신사역성일빌딩,서울,일반 매장,서울특별시 강남구 논현동 18-4 성일빌딩,37.5139309,127.0206057,20191219
1527,국기원사거리,서울,일반 매장,서울특별시 강남구 역삼동 648-22 동찬빌딩,37.499517,127.031495,20190731
1468,대치재경빌딩,서울,일반 매장,서울특별시 강남구 대치동 599 대원빌딩,37.494668,127.062583,20190214
1640,봉은사역,서울,일반 매장,서울특별시 강남구 삼성동 108-6 JBK TOWER 빌딩,37.515,127.063196,20200528
1650,압구정윤성빌딩,서울,일반 매장,서울특별시 강남구 신사동 592 윤성빌딩,37.5227934,127.0286009,20200529
1626,코엑스별마당,서울,일반 매장,서울특별시 강남구 삼성동 159 코엑스,37.51015,127.060275,20200416
1438,삼성역섬유센터R,서울,리저브 매장,서울특별시 강남구 대치동 944-31 한국섬유산업연합회,37.50775,127.060651,20181123
1411,압구정R,서울,리저브 매장,서울특별시 강남구 신사동 621-1,37.5273669,127.033061,20180831
1389,수서역R,서울,리저브 매장,서울특별시 강남구 수서동 715 수서빌딩,37.48802242,127.1029799,20180627
1404,양재강남빌딩R,서울,리저브 매장,서울특별시 강남구 도곡동 956 LG전자 강남R&D센터,37.485192,127.036685,20180824
1355,선릉동신빌딩R,서울,리저브 매장,서울특별시 강남구 삼성동 141-28 동신빌딩,37.505321,127.050409,20180330
1348,봉은사로선정릉,서울,일반 매장,서울특별시 강남구 삼성동 114-9 올림푸스타워,37.51131683,127.0484634,20180306
1255,강남오거리,서울,일반 매장,"서울특별시 강남구 역삼동 813-17 1,2,3층",37.502117,127.026672,20170818
1211,스타필드코엑스몰R,서울,리저브 매장,서울특별시 강남구 삼성동 159 코엑스  A106호,37.50999,127.061455,20170502
1188,강남구청정문,서울,일반 매장,서울특별시 강남구 청담동 44-12 대륭빌딩,37.518181,127.045995,20170323
1263,도곡공원,서울,일반 매장,서울특별시 강남구 역삼동 788-10,37.492805,127.041309,20170825
1258,강남R,서울,리저브 매장,서울특별시 강남구 역삼동 825 미진프라자 1층 101호,37.497711,127.028439,20170816
1099,대치은마사거리,서울,일반 매장,서울특별시 강남구 대치동 941-19 진흥빌딩,37.498973,127.060172,20160812
1154,청담영동대로,서울,일반 매장,서울특별시 강남구 청담동 132-1 삼청빌딩,37.522156,127.056449,20161223
1084,압구정,서울,일반 매장,서울특별시 강남구 신사동 609 이소니프라자,37.526283,127.02956,20160623
1159,신사가로수,서울,일반 매장,서울특별시 강남구 신사동 533-11,37.521933,127.022521,20161227
1146,청담스타R,서울,리저브 매장,서울특별시 강남구 청담동 89-4,37.525216,127.041827,20161214
1129,강남우성,서울,일반 매장,서울특별시 강남구 역삼동 832-3 강남역 쉐르빌,37.492396,127.03091,20161110
991,학동사거리,서울,일반 매장,서울특별시 강남구 논현2동 93-2번지,37.5223645,127.0379543,20150911
1062,대치사거리,서울,일반 매장,서울특별시 강남구 대치동 960-5 티아빌딩,37.503331,127.058817,20160512
1038,포스코사거리,서울,일반 매장,서울특별시 강남구 삼성동 157-36 화진빌딩,37.5075307,127.0574271,20160224
914,을지병원사거리,서울,일반 매장,서울특별시 강남구 논현동 59-8 구산빌딩,37.5191632,127.0286446,20150422
863,신사역,서울,일반 매장,서울특별시 강남구 논현동 1-3 렉스타워,37.5162021,127.0207428,20141211
825,도곡역,서울,일반 매장,서울특별시 강남구 대치동 651,37.492167,127.057398,20140828
815,서울세관사거리,서울,일반 매장,서울특별시 강남구 논현동 238-5 한국건설기술인협회,37.514887,127.035653,20140731
734,청담사거리,서울,일반 매장,서울특별시 강남구 청담동 6-5 리츠타워,37.5236351,127.0468651,20140220
687,한티역,서울,일반 매장,서울특별시 강남구 대치동 1024 디마크빌딩 101호,37.496801,127.055055,20131108
752,역삼초교사거리,서울,일반 매장,서울특별시 강남구 역삼동 830-71,37.49416922,127.0331779,20140326
744,코엑스몰,서울,일반 매장,서울특별시 강남구 삼성동 159 코엑스 O103호,37.513715,127.059245,20140301
672,가로수길,서울,일반 매장,서울특별시 강남구 신사동 529-10 1~2층,37.5231593,127.021625,20131004
632,역삼대로,서울,일반 매장,서울특별시 강남구 역삼동 678-39번지 한국고등교육재단빌딩1층,37.501623,127.039375,20130625
636,역삼포스코,서울,일반 매장,서울특별시 강남구 역삼동 735-3번지 P&S TOWER,37.499721,127.033582,20130709
630,강남대로,서울,일반 매장,서울특별시 강남구 역삼동 809-10번지 한석타워 2층 1-2호,37.50314,127.025546,20130620
667,청담,서울,일반 매장,서울특별시 강남구 청담동 52-1 인희빌딩 1층,37.5243631,127.0515599,20130917
607,삼성교,서울,일반 매장,서울특별시 강남구 대치동 1001-8 외 2필지 동남유화빌딩1층,37.507794,127.06517,20130423
251,학동역,서울,일반 매장,서울특별시 강남구 논현동 87,37.51464884,127.0307302,20040830
200,대치,서울,일반 매장,서울특별시 강남구 대치동 988-17 대진빌딩,37.49966175,127.0622171,20030509
198,신세계푸드마켓도곡,서울,일반 매장,서울특별시 강남구 도곡동 467-17 타워팰리스Ⅱ F 지하1층,37.49010201,127.0550702,20030115
180,삼성,서울,일반 매장,서울특별시 강남구 삼성동 144-25 태리타워 1층,37.50689646,127.0557187,20020329
170,선릉세화빌딩,서울,일반 매장,서울특별시 강남구 대치동 889-70 세화빌딩 1층,37.50377562,127.051196,20011110
158,압구정역,서울,일반 매장,서울특별시 강남구 신사동 580-2 관영빌딩 1층 지하1층,37.52674095,127.0281105,20010310
283,압구정로,서울,일반 매장,서울특별시 강남구 신사동 635-13,37.52680046,127.0347174,20071221
279,구역삼사거리,서울,일반 매장,서울특별시 강남구 역삼동 747-21,37.49589065,127.0389092,20080528
278,큰길타워,서울,일반 매장,서울특별시 강남구 역삼동 677-25 큰길타워,37.50236693,127.0407,20050310
275,강남구청역,서울,일반 매장,서울특별시 강남구 논현동 241-7 웰빙센터 1층,37.5165849,127.0412433,20050420
274,대치역,서울,일반 매장,서울특별시 강남구 대치동 507 윈플러스상가 107호,37.493554,127.061874,20050510
272,포이,서울,일반 매장,서울특별시 강남구 개포4동 1229-1,37.47781106,127.0451411,20050530
19,아크플레이스,서울,일반 매장,서울특별시 강남구 역삼동 736-1,37.49971982,127.0349084,20060421
3,학여울역,서울,일반 매장,서울특별시 강남구 대치동 994-10,37.49803646,127.0684943,20060223
989,선정릉역,서울,일반 매장,서울특별시 강남구 삼성2동 37-17 에프오빌딩,37.5107549,127.0445597,20150922
58,삼성현대힐,서울,일반 매장,서울특별시 강남구 삼성동 51번지,37.51350444,127.0527375,20081205
266,GS타워,서울,일반 매장,서울특별시 강남구 역삼동 679,37.5018592,127.0372776,20050806
259,압구정미소,서울,일반 매장,서울특별시 강남구 신사동 583-3,37.52391271,127.0280721,20041210
258,선릉역,서울,일반 매장,서울특별시 강남구 역삼동 708-6 LG화재 빌딩,37.50393894,127.0485135,20041119
484,코엑스사거리,서울,일반 매장,서울특별시 강남구 삼성동 91-31,37.515351,127.060109,20120227
471,역삼럭키,서울,일반 매장,서울특별시 강남구 역삼동 798-30,37.492209,127.039389,20120110
394,신압구정,서울,일반 매장,서울특별시 강남구 신사동 639-7번지,37.528115,127.036441,20110607
306,아크로힐스논현,서울,일반 매장,서울특별시 강남구 역삼동 681번지 금강빌딩 1-2층,37.50901331,127.0403524,20091223
497,강남비젼타워,서울,일반 매장,서울특별시 강남구 역삼동 826-26번지 1층 101호,37.4964557,127.0296885,20120330
338,압구정로데오역,서울,일반 매장,"서울특별시 강남구 청담동 84-3번지 삼원빌딩 1,2층",37.526549,127.040437,20100831
316,르네상스사거리,서울,일반 매장,서울특별시 강남구 역삼동 706-1번지,37.50268239,127.0441433,20100325
325,포스코,서울,일반 매장,서울특별시 강남구 대치동 942-5번지 1층,37.50576458,127.0580449,20100714
565,선릉로,서울,일반 매장,서울특별시 강남구 역삼동 697-45 대흥빌딩 1층,37.50498119,127.0468081,20121114
430,논현힐탑,서울,일반 매장,서울특별시 강남구 논현동 216-5번지,37.511685,127.032187,20110829
433,도산가로수길,서울,일반 매장,서울특별시 강남구 논현동 5번지 2층,37.5173623,127.0232957,20110907
2319,매봉역,서울,일반 매장,서울특별시 강남구 도곡동 411-19 지앤지빌딩,37.4859095,127.0452879,20240910
2520,호림아트센터,서울,일반 매장,서울특별시 강남구 신사동 651-24 호림아트센터 1빌딩,37.522514,127.035977,20260130
2497,청담역6번출구,서울,일반 매장,"서울특별시 강남구 삼성동 65-5, 65-10",37.51660208,127.0517528,20251211
2509,강남자곡,서울,일반 매장,"서울특별시 강남구 자곡동 650, 107~109호",37.47306371,127.1024473,20251226
1760,대치한티,서울,일반 매장,서울특별시 강남구 대치동 922-1 SH타워,37.4984818,127.052066,20210128
2125,개포동,서울,일반 매장,서울특별시 강남구 개포동 167-9,37.48285514,127.0607152,20230421
1873,수서역사거리,서울,일반 매장,서울특별시 강남구 수서동 724 로즈데일오피스텔,37.48740078,127.1029225,20210929
1710,코엑스아셈타워,서울,일반 매장,서울특별시 강남구 삼성동 159 코엑스아셈타워 AT-01호,37.513019,127.059838,20201104
2428,강남차여성병원,서울,일반 매장,서울특별시 강남구 역삼동 605 마티네 차움,37.50640319,127.0318113,20250710
1831,센터필드R,서울,리저브 매장,서울특별시 강남구 역삼동 676 센터필드,37.50369465,127.0417208,20210727
1813,도산사거리,서울,일반 매장,서울특별시 강남구 논현동 70-6 트리스빌딩,37.51966,127.0341,20210610
1800,강남세곡,서울,일반 매장,서울특별시 강남구 세곡동 551 팜모드빌딩,37.46727432,127.0999297,20210422
1716,대치삼성,서울,일반 매장,서울특별시 강남구 대치동 993-1,37.500313,127.066961,20201008
2057,언주역,서울,일반 매장,서울특별시 강남구 역삼동 652-2,37.507975,127.036478,20221124
2522,한티역8번출구,서울,일반 매장,서울특별시 강남구 역삼동 765-17,37.4964928,127.0521993,20260130
2514,신논현역3번출구,서울,일반 매장,서울특별시 강남구 논현동 199 대남빌딩,37.50587698,127.0242895,20260130
2437,강남파이낸스센터,서울,일반 매장,"서울특별시 강남구 역삼동 737 강남파이낸스센터, 1층 B호",37.49993577,127.0368478,20250731
1975,강남역신분당역사,서울,일반 매장,서울특별시 강남구 역삼동 858,37.49705725,127.0281807,20220512
2000,삼성역,서울,일반 매장,서울특별시 강남구 대치동 996-1번지,37.50920696,127.0656085,20220707
1752,테헤란로아남타워,서울,일반 매장,서울특별시 강남구 역삼동 702-10 아남타워빌딩,37.50383,127.04487,20210107
1902,강남논현,서울,일반 매장,서울특별시 강남구 논현동 164-7,37.50789786,127.0233386,20211216
1846,삼성동,서울,일반 매장,서울특별시 강남구 삼성동 168-22 페코빌딩,37.51084337,127.0636334,20210806
2398,리저브도산,서울,리저브 매장,"서울특별시 강남구 신사동 656-4, 1,2층",37.52554758,127.0377509,20250429
2371,압구정역사3번출구,서울,일반 매장,서울특별시 강남구 신사동 603 ANdAZ 지하1층,37.52575282,127.0288619,20241227
2204,청담역,서울,일반 매장,서울특별시 강남구 청담동 47-2,37.51944073,127.0495527,20231101
2245,압구정현대아파트,서울,일반 매장,서울특별시 강남구 신사동 574-4,37.52521971,127.0256602,20240304
2331,강남청담빌딩,서울,일반 매장,서울특별시 강남구 청담동 41 청담빌딩,37.517887,127.041375,20240929
1727,역삼이마트,서울,일반 매장,서울특별시 강남구 역삼동 755 한솔필리아,37.499367,127.048425,20201127
2351,케이스퀘어강남,서울,일반 매장,서울특별시 강남구 역삼동 819,37.49919146,127.0282044,20241122
2217,강남세곡DT,서울,일반 매장,"서울특별시 강남구 세곡동 21-3, 21-1, 21-10(일부)",37.46699381,127.1183308,20231130
1120,미아뉴타운,서울,일반 매장,서울특별시 강북구 미아동 812-2 행전빌딩,37.618319,127.021072,20161007
971,강북구청사거리,서울,일반 매장,서울특별시 강북구 수유동 174-13,37.63998786,127.0274331,20150818
872,미아사거리역,서울,일반 매장,서울특별시 강북구 미아동 35-30,37.61183125,127.0305855,20141223
254,수유역,서울,일반 매장,서울특별시 강북구 번동 418-17,37.6380167,127.026135,20041014
509,미아역,서울,일반 매장,서울특별시 강북구 미아동 121-19번지,37.626148,127.026578,20120425
2314,수유역5번출구,서울,일반 매장,서울특별시 강북구 수유동 740 에피소드 수유 838,37.63672268,127.0233221,20240905
1858,서울안토,서울,일반 매장,서울특별시 강북구 우이동 산14-3,37.6641955,127.0104073,20210827
1547,발산역사거리,서울,일반 매장,서울특별시 강서구 마곡동 801-2,37.558509,126.835096,20190930
1625,마곡역,서울,일반 매장,서울특별시 강서구 마곡동 798-3,37.559611,126.826298,20200409
1383,우장산역,서울,일반 매장,서울특별시 강서구 내발산동 719-6 송화쇼핑센터,37.54951004,126.8360616,20180626
1396,마곡사이언스타워R,서울,리저브 매장,서울특별시 강서구 마곡동 796-3 마곡사이언스타워,37.5605261,126.833887,20180731
1311,방화DT,서울,일반 매장,"서울특별시 강서구 방화동 293-4, 293-14, 293-15",37.57445683,126.8164881,20171213
1267,마곡나루역,서울,일반 매장,"서울특별시 강서구 마곡동 759-3 보타닉파크타워Ⅰ105,203,204호",37.56813,126.82614,20170907
1217,마곡GMG,서울,일반 매장,서울특별시 강서구 마곡동 773-2 마곡지엠지타워,37.560487,126.829667,20170510
1196,가양역,서울,일반 매장,서울특별시 강서구 등촌동 73-1 금부빌딩,37.56164,126.853327,20170331
1114,화곡DT,서울,일반 매장,서울특별시 강서구 화곡동 772-67,37.53501075,126.863188,20161011
909,화곡동,서울,일반 매장,서울특별시 강서구 화곡동 1073-10,37.54061902,126.837388,20150327
703,염창역,서울,일반 매장,서울특별시 강서구 염창동 282-23,37.547359,126.874436,20131213
731,발산역,서울,일반 매장,서울특별시 강서구 등촌동 678-14 그랜드마트,37.56033524,126.8391391,20140207
549,까치산역,서울,일반 매장,서울특별시 강서구 화곡동 343-1번지,37.53232351,126.8461233,20120905
2479,마곡코엑스,서울,일반 매장,"서울특별시 강서구 마곡동 767, 르웨스트시티 제본동 제1층 샵4/5호",37.56530318,126.8257043,20251128
2288,염창대로,서울,일반 매장,"서울특별시 강서구 염창동 260, 101호",37.54854791,126.8782593,20240628
2196,발산역5번출구,서울,일반 매장,"서울특별시 강서구 내발산동 647 DH647, 1층 일부",37.55792247,126.8405403,20231013
2496,양천향교역,서울,일반 매장,서울특별시 강서구 마곡동 776-2 마곡센트럴대방디엠시티오피스텔 121-1 121-2호,37.56785182,126.8408208,20251224
2013,화곡역8번출구,서울,일반 매장,"서울특별시 강서구 화곡동 1051-22, 1층 일부",37.54227921,126.8393,20220801
